dataset,seed,split_key,split_type,model_name,mean_all_gene_pearson,mean_all_gene_rmse,mean_top50_overlap,mean_top100_overlap,mean_top200_overlap,mean_top50_direction_agreement,mean_top100_direction_agreement,mean_top200_direction_agreement,n_train,n_val,n_test,runtime_seconds
sciplex3_24h_top2000,7,cell_heldout,cell_heldout,transigen_adapted_sciplex3,0.0742915928030366,2.323658723392471,0.1086827956989247,0.110510752688172,0.1470228494623656,0.5516129032258065,0.5555510752688173,0.5488709677419356,1456,146,744,0.1203269958496093
sciplex3_24h_top2000,7,scaffold_heldout,scaffold_heldout,transigen_adapted_sciplex3,0.2138276879518804,0.0821947882473227,0.1703587443946188,0.1938565022421524,0.2410313901345291,0.6586995515695067,0.6480493273542601,0.6361995515695067,1754,175,446,0.1399118900299072
sciplex3_24h_top2000,7,cell_scaffold_heldout,cell_scaffold_heldout,transigen_adapted_sciplex3,0.0406653611513384,1.6859834759886665,0.0947019867549668,0.1005960264900662,0.1417880794701986,0.5148344370860926,0.5247019867549668,0.5370198675496689,1161,116,151,0.0953831672668457
sciplex3_24h_top2000,8,random,random,transigen_adapted_sciplex3,0.2573451852797316,0.0816990097261148,0.1817821782178217,0.2104207920792078,0.2585396039603961,0.6843564356435644,0.6824009900990099,0.6736386138613861,1796,180,404,0.1638197898864746
sciplex3_24h_top2000,8,cell_heldout,cell_heldout,transigen_adapted_sciplex3,0.0410980275776395,0.4010438461411769,0.0473713490959666,0.0674547983310153,0.1233171070931849,0.5427538247566064,0.5397357440890126,0.5271140472878999,1481,148,719,0.1292569637298584
sciplex3_24h_top2000,8,scaffold_heldout,scaffold_heldout,transigen_adapted_sciplex3,0.2201738527989636,0.0814700858271907,0.157708830548926,0.1908114558472553,0.2356801909307876,0.6637708830548926,0.6592840095465394,0.6457756563245823,1781,178,419,0.1513409614562988
sciplex3_24h_top2000,8,cell_scaffold_heldout,cell_scaffold_heldout,transigen_adapted_sciplex3,0.0312047250929563,0.2984640337114989,0.0297014925373134,0.082910447761194,0.1248134328358209,0.5143283582089553,0.5136567164179103,0.5202985074626866,1196,120,134,0.1001091003417968
sciplex3_24h_top2000,9,random,random,transigen_adapted_sciplex3,0.2342959121236504,0.0770776164537078,0.1733660933660933,0.1988943488943489,0.2471375921375921,0.6734643734643735,0.6683538083538083,0.6597420147420147,1793,179,407,0.1419539451599121
sciplex3_24h_top2000,9,cell_heldout,cell_heldout,transigen_adapted_sciplex3,0.0504095634305711,0.2400204895662952,0.0835820895522388,0.1050474898236092,0.141831750339213,0.5506648575305292,0.5361736770691995,0.5382632293080054,1463,146,737,0.1191551685333252
sciplex3_24h_top2000,9,scaffold_heldout,scaffold_heldout,transigen_adapted_sciplex3,0.2377502603815221,0.0917266991164736,0.1760570071258907,0.2050593824228028,0.246270783847981,0.6810926365795723,0.6760332541567696,0.660581947743468,1779,178,421,0.1390719413757324
